"annotation"	"coefficient.agl"	"pvalue.agl"	"adj.pvalue.agl"
"OSTM1"	-1.00087786212936	1.5049525167141e-09	8.63220642535147e-09
"ACO2"	1.77358221657433	1.51237681990045e-09	8.6736587565335e-09
"E1A_r60_a97"	0.851795971404857	1.51260280638353e-09	8.673822462764e-09
"ZNF658"	1.06087780275127	1.51304996866579e-09	8.67525426435093e-09
"TPM3"	-1.26620288281354	1.51504248641456e-09	8.68554501770562e-09
"PDCD10"	-0.922826868125489	1.51778783735059e-09	8.70014841892596e-09
"B3GALT2"	0.939029930350294	1.51818506886178e-09	8.70129005351165e-09
"HIST3H2A"	-1.86979229757684	1.5229072588651e-09	8.72721612173267e-09
"SERF2"	-1.07877715367734	1.52444411313221e-09	8.7348838312262e-09
"SLC6A15"	0.907576609519739	1.52554608849438e-09	8.74005806124760e-09
"MTIF2"	-1.10214269772033	1.52685917872519e-09	8.74644028955226e-09
"ACLY"	-1.18350044595488	1.5285040082482e-09	8.75428420941742e-09
"A_32_P208076"	-1.81355387483679	1.52862703262937e-09	8.75428420941742e-09
"ADCY5"	1.37977441012929	1.53143061030261e-09	8.76919683800886e-09
"PFN1"	-1.35959188319179	1.53368835324169e-09	8.78035562767064e-09
"ATP9B"	1.06721222282828	1.53377908735846e-09	8.78035562767064e-09
"LRP10"	-0.957576464443352	1.5358854181849e-09	8.79126805293562e-09
"ENST00000228360"	0.901900833727437	1.53899906721908e-09	8.80794268134466e-09
"PHB"	-1.55832107166699	1.54064089593399e-09	8.81619059519035e-09
"CPNE7"	-0.987485155201706	1.54442522313779e-09	8.83669503486146e-09
"ABCG2"	0.958896782520423	1.5527409991125e-09	8.88311822268669e-09
"A_23_P208579"	-1.02606604589276	1.55331153566692e-09	8.88493468783695e-09
"GNL3L"	-1.25999290205537	1.55346300647096e-09	8.88493468783695e-09
"THC2281336"	1.10897572316896	1.55427330038324e-09	8.88841191865869e-09
"PGPEP1"	-1.52598130585658	1.55486402314223e-09	8.89063274771068e-09
"A_24_P110541"	-1.94509820443396	1.55578561425971e-09	8.89474464081772e-09
"PLXNA2"	2.02447431392878	1.55643970534463e-09	8.89732631040924e-09
"F2"	-1.30322264587117	1.55669349078989e-09	8.89761927451088e-09
"NOVA2"	1.95711277462781	1.5569093535276e-09	8.89769543512697e-09
"FLJ21820"	-0.980532281814839	1.55765538801264e-09	8.90080109921738e-09
"LCHN"	1.25019413696449	1.55807284595359e-09	8.90202863774054e-09
"FLRT2"	0.928868786743717	1.56168322238795e-09	8.92125830504462e-09
"LOC284361"	0.875850519497814	1.56184465694153e-09	8.92125830504462e-09
"ENST00000263665"	1.21307476780536	1.56459584154536e-09	8.93581122138967e-09
"YT521"	0.843145954008255	1.56560371361064e-09	8.94040514007917e-09
"AK021693"	0.834958389624856	1.56804769339239e-09	8.95319771489747e-09
"WARS"	-1.28414550393903	1.57333641693152e-09	8.98222769749429e-09
"H2AFZ"	-1.30640040203949	1.5808379162148e-09	9.02290721956119e-09
"KIAA0882"	1.37026367059148	1.58105954589438e-09	9.02290721956119e-09
"FLJ35093"	1.18353042400055	1.58107804912663e-09	9.02290721956119e-09
"PDCD6IP"	-1.10094934747694	1.58330225525417e-09	9.03307388872047e-09
"ASB13"	0.770573858349819	1.58346242971065e-09	9.03307388872047e-09
"AY239294"	-1.2271363527165	1.58347640657022e-09	9.03307388872047e-09
"ENST00000327591"	-1.0403661588195	1.58385384410161e-09	9.03362311182846e-09
"FUSIP1"	-1.32652996114515	1.58398394824645e-09	9.03362311182846e-09
"FLJ12760"	-1.44058535335218	1.58596643745089e-09	9.04375539507467e-09
"MMD2"	1.01205846202991	1.58684343567839e-09	9.04758195623455e-09
"TSPY2"	-1.07584983618546	1.59558089493603e-09	9.0962190884291e-09
"THC2453304"	1.25744999715634	1.59734480966667e-09	9.10509339995671e-09
"DOC2A"	1.64671891220555	1.59803500690493e-09	9.10784585993003e-09
"ENST00000356170"	-1.03326114585309	1.59912675381661e-09	9.11288590244100e-09
"AK023328"	-1.03601010565464	1.59998409438048e-09	9.11631791758665e-09
"THC2344838"	-0.875335594356903	1.60014403183426e-09	9.11631791758665e-09
"WDR58"	-1.26524575315249	1.60501750518251e-09	9.14233407761919e-09
"IRF1"	-1.0842471860262	1.60525139312996e-09	9.14233407761919e-09
"TBX3"	-0.943116064845851	1.60533484497859e-09	9.14233407761919e-09
"DELGEF"	1.35593545766183	1.60681892805966e-09	9.14959978335565e-09
"RPL13"	0.746662488176422	1.60747101542705e-09	9.15212664317336e-09
"A_24_P110591"	1.84501132924891	1.60778874798786e-09	9.15226242324753e-09
"HMGN1"	-2.65107506701068	1.60791152904838e-09	9.15226242324753e-09
"GSTA5"	-0.930171842339019	1.62033856125849e-09	9.22180247890231e-09
"DBP"	1.23217430822466	1.6222712816276e-09	9.23160617528267e-09
"UBIAD1"	-1.24098953315592	1.62401087768021e-09	9.24030849208251e-09
"RNPEP"	-1.11413696567766	1.62557725953531e-09	9.24802312725274e-09
"WIPI49"	-1.26358748888903	1.62975791081397e-09	9.27060660105769e-09
"CRI1"	1.63551225263029	1.63100743020211e-09	9.27618772584376e-09
"ZMYM1"	-1.04090213461158	1.63116137083479e-09	9.27618772584376e-09
"EIF4A2"	1.22409980505519	1.63237951033372e-09	9.2819135734495e-09
"A_24_P561165"	1.37403177815282	1.63325204781756e-09	9.28567305715972e-09
"EIF5B"	-0.739358349770459	1.63527054391726e-09	9.29594594524185e-09
"COL9A2"	1.41675914006583	1.63568343223745e-09	9.29709003255578e-09
"TMPO"	-1.05960424717947	1.63863726495952e-09	9.31199187898081e-09
