"annotation"	"coefficient.affx"	"pvalue.affx"	"adj.pvalue.affx"
"PCDH7"	3.66918085482574	5.00818426360046e-15	8.49038995839781e-13
"ASPA"	5.24499861008859	5.03167036255751e-15	8.49801655647638e-13
"KCNK1"	3.75068507468254	5.29823937556749e-15	8.91458652228942e-13
"AHSG"	-9.79693415797833	5.34524477717403e-15	8.93203997015567e-13
"NEFL"	7.57455380860297	5.34852692823693e-15	8.93203997015567e-13
"ERICH3"	6.55517346768234	5.42116625269121e-15	9.00141929477312e-13
"HECW1"	5.26981857946643	5.43826565584268e-15	9.00141929477312e-13
"NRXN3"	6.5744312550057	5.45846097125332e-15	9.00141929477312e-13
"AAK1"	7.00849976193099	5.47052026136895e-15	9.00141929477312e-13
"TSPYL5"	3.2161501839777	5.50448167167967e-15	9.02412387171045e-13
"TCEAL7"	8.6102070360299	5.53765036256093e-15	9.04536786959041e-13
"EIF2S2"	-1.86562769676224	5.63699755656863e-15	9.17416227788311e-13
"STMN4"	8.64089818111646	5.72767336485605e-15	9.28796192454701e-13
"FST"	-8.8131745401111	5.77052022922447e-15	9.3236607718112e-13
"ABAT"	4.28225067388636	5.79429572439196e-15	9.32839926046354e-13
"AAK1"	5.74984291467809	5.82445437054055e-15	9.34334336229079e-13
"CD24"	-4.51580627794388	5.87859747335735e-15	9.39651816134221e-13
"STMN2"	10.6476222989751	5.94149891529424e-15	9.46326425099321e-13
"RIMS1"	7.33951133625781	6.14419570883832e-15	9.72177539308577e-13
"ITPRIP"	-3.04437679725158	6.14724827116649e-15	9.72177539308577e-13
"SYN1"	7.45187453706338	6.22719810770751e-15	9.80936370147153e-13
"CLU"	3.03278505896498	6.24646674170924e-15	9.80936370147153e-13
"KIF5C"	7.15446818043221	6.3853911175503e-15	9.99246730269514e-13
"OGDHL"	4.34858345966425	6.52887448209199e-15	1.01814044014115e-12
"TUBB"	-2.60626872193471	6.61725811803446e-15	1.02672660559491e-12
"PRKCZ"	4.04503784627889	6.62981475147307e-15	1.02672660559491e-12
"NMNAT2"	5.73128046739626	6.65612838577748e-15	1.02724717942709e-12
"LSAMP"	5.20099662202131	6.7646183548139e-15	1.03448393614041e-12
"RIMS3"	6.06106623742765	6.76936700569089e-15	1.03448393614041e-12
"ASF1B"	-5.95956740479477	6.77236109771072e-15	1.03448393614041e-12
"APLP1"	6.02385133052741	6.87024774762811e-15	1.04586669453348e-12
"CHI3L1"	4.32507916964645	7.13722582613446e-15	1.08282603076093e-12
"BEX1"	3.09598713405522	7.29960594345225e-15	1.10168699385359e-12
"DEPDC1"	-6.05138440052664	7.31077480504323e-15	1.10168699385359e-12
"ZNF536"	6.56786358513181	7.35410790672998e-15	1.10449816601882e-12
"IGF2"	-6.17440307554908	7.52531176422693e-15	1.12325601168424e-12
"CENPA"	-4.3960732902292	7.52919839809794e-15	1.12325601168424e-12
"RAB13"	-2.24957954393039	7.57520706637842e-15	1.12608809607731e-12
"APOM"	-5.58927556177207	7.61590665002582e-15	1.12608809607731e-12
